ID,Nume,Nr_Camere,Metri_Patrati,Pret,Localizare
83L100000TO, Apartament 2 camere Apusului - Direct Dezvoltator ,2 camere,40.91 mp utili,46.500 EUR,"Bucuresti, zona Apusului (Militari) "
3B210008KIE," Apartament 2 camere circular, bloc de tip TD reabilitat - Parc Moghioros. ",2 camere,49 mp utili,52.000 EUR,"Bucuresti, zona Drumul Taberei "
83400HBQFMF," PALATUL PARLAMENTULUI, IMOBIL 2018, COMISION 0 ",2 camere,67 mp utili,91.600 EUR + TVA,"Bucuresti, Sector 5, zona 13 Septembrie "
6P01000002H," Bucuresti: Garsoniera de 45 mp utili, Bloc Nou, utilata si mobilata ",o cameră,45 mp utili,79.500 EUR,"Bucuresti, zona Aviatiei "
6581000UGPA, Apartament 2 camere Rose Garden cu parcare subterana inclusa ,2 camere,55 mp utili,89.900 EUR,"Bucuresti, Sector 2, zona Colentina "
7TT00I6QPCA, Drumul Taberei 34 - liceu Grigore Moisil ,4 camere,61 mp utili,64.000 EUR,"Bucuresti, Sector 6, zona Drumul Taberei "
3KV00I6TSD4," Apartament 3 camere in zona Dristor, InCity Residence ",3 camere,94 mp utili,160.000 EUR,"Bucuresti, zona Dristor "
V0200CVGPPL, Prelungirea Ghencea Domnesti 3 cam 65.000eur ,3 camere,86 mp utili,67.000 EUR,"Bucuresti, zona Prelungirea Ghencea (Ghencea) "
4PQ00DITKHJ, Garsoniera Militari Residence ,o cameră,46 mp utili,35.650 EUR,"Bucuresti, Sector 6, zona Militari "
9R500I6G9KT," Apartamennt tip duplex, 4 camere, vedere parc, zona de case ",4 camere,101 mp utili,138.000 EUR,"Bucuresti, Sector 1, zona Damaroaia (Bucurestii Noi) "
V0500ER71KJ," 2 CAM LUX - CU CHIRIAS - RANDAMENT 7%/AN, GARANTAT PE 5 ANI -PIATA UNIVERSITATII ",2 camere,50 mp utili,119.000 EUR,"Bucuresti, Sector 1, zona Universitate (Ultracentral) "
